datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-01-01 0:00:00,1,0,0,1,9.84,14.395,81.0,0.0,3,13,16
2011-01-01 1:00:00,1,0,0,1,9.02,13.635,80.0,0.0,8,32,40
2011-01-01 2:00:00,1,0,0,1,9.02,13.635,80.0,0.0,5,27,32
2011-01-01 3:00:00,1,0,0,1,9.84,14.395,75.0,0.0,3,10,13
2011-01-01 4:00:00,1,0,0,1,9.84,14.395,75.0,0.0,0,1,1
2011-01-01 5:00:00,1,0,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1
2011-01-01 6:00:00,1,0,0,1,9.02,13.635,80.0,0.0,2,0,2
2011-01-01 7:00:00,1,0,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3
2011-01-01 8:00:00,1,0,0,1,9.84,14.395,75.0,0.0,1,7,8
2011-01-01 9:00:00,1,0,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81.0,19.0012,26,30,56
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77.0,19.0012,29,55,84
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72.0,19.0012,35,71,106
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82.0,19.0012,15,52,67
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37
2011-01-01 20:00:00,1,0,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36
2011-01-01 21:00:00,1,0,0,2,16.400000000000002,20.455000000000002,87.0,12.998,3,31,34
2011-01-01 22:00:00,1,0,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39
2011-01-02 0:00:00,1,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17
2011-01-02 1:00:00,1,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17
2011-01-02 2:00:00,1,0,0,2,17.22,21.21,100.0,19.0012,1,8,9
2011-01-02 3:00:00,1,0,0,2,18.86,22.725,94.0,12.998,2,4,6
2011-01-02 4:00:00,1,0,0,2,18.86,22.725,94.0,12.998,2,1,3
2011-01-02 6:00:00,1,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2
2011-01-02 7:00:00,1,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998,0,1,1
2011-01-02 8:00:00,1,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8
2011-01-02 9:00:00,1,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20
2011-01-02 10:00:00,1,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93
2011-01-02 13:00:00,1,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75
2011-01-02 14:00:00,1,0,0,3,14.76,17.424999999999997,76.0,12.998,4,55,59
2011-01-02 15:00:00,1,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74
2011-01-02 16:00:00,1,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76
2011-01-02 17:00:00,1,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998,7,58,65
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46.0,22.0028,10,43,53
2011-01-02 19:00:00,1,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30
