season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
1985,288,73,0,-3,-9,41,50,0,0.10512328
1985,5929,73,0,4,6,61,55,1,0.14422634
1985,9884,73,0,5,-4,59,63,0,0.13436443
1985,73,288,0,3,9,50,41,1,0.16118428
1985,3920,410,0,1,-9,54,63,0,0.15369163
1985,8405,410,0,8,3,68,65,1,0.15978567
1985,4149,513,0,8,-2,64,66,0,0.1559826
1985,6281,513,0,9,6,62,56,1,0.16879903
1985,7201,513,0,5,-1,58,59,0,0.1642597
1985,2340,764,0,8,-1,73,74,0,0.18297601
1985,5077,764,0,9,2,59,57,1,0.19656727
1985,8984,764,0,5,-2,53,55,0,0.16449524
1985,10020,2082,0,1,2,51,49,1,0.12939252
1985,8662,2204,0,3,5,70,65,1,0.13470487
1985,764,2340,0,-8,1,74,73,1,0.07486281
1985,6966,2340,0,-11,-13,62,75,0,0.10367817
1985,5212,2675,0,15,4,59,55,1,0.14295928
1985,3234,3132,0,-1,-6,54,60,0,0.15070215
1985,4400,3132,0,-15,-25,43,68,0,0.10967845
1985,4698,3132,0,-3,-12,53,65,0,0.15717916
1985,8405,3132,0,0,-18,59,77,0,0.14913611
1985,8746,3132,0,-7,-17,46,63,0,0.1266126
1985,10020,3132,0,-7,2,66,64,1,0.0952038
1985,3745,3166,0,3,16,74,58,1,0.13733557
1985,10564,3166,0,-5,-8,59,67,0,0.11444421
1985,3132,3234,0,1,6,60,54,1,0.09782307
1985,3745,3234,0,-1,-8,53,61,0,0.109910324
1985,5111,3234,0,-13,-7,58,65,0,0.0727556
1985,8662,3234,0,-5,-17,53,70,0,0.097780764
1985,3166,3745,0,-3,-16,58,74,0,0.113900796
1985,3234,3745,0,1,8,61,53,1,0.134964
1985,6372,3745,0,-11,-19,57,76,0,0.087281
1985,6664,3779,0,8,6,75,69,1,0.13607034
1985,9663,3779,0,1,-3,55,58,0,0.14143598
1985,4698,3886,0,9,1,59,58,1,0.16345641
1985,410,3920,0,-1,9,63,54,1,0.09961771
1985,6629,3954,0,9,11,75,64,1,0.09464051
1985,513,4149,0,-8,2,66,64,1,0.11219517
1985,6595,4149,0,-11,-11,38,49,0,0.13230693
1985,8405,4264,0,11,16,86,70,1,0.19911015
1985,9629,4264,0,8,-3,61,64,0,0.1884384
1985,10366,4264,0,7,-8,58,66,0,0.1574294
1985,3132,4400,0,15,25,68,43,1,0.15123774
1985,6629,4562,0,1,-12,67,79,0,0.062888175
1985,6664,4562,0,4,2,86,84,1,0.099905595
1985,7000,4562,0,-7,-24,54,78,0,0.095797
1985,3132,4698,0,3,12,65,53,1,0.08938971
1985,3886,4698,0,-9,-1,58,59,0,0.08456865
1985,8059,4698,0,-1,-13,57,70,0,0.09752381
1985,5850,4732,0,-9,23,78,55,1,0.14433861
1985,9884,4907,0,13,16,81,65,1,0.11348401
1985,5178,4941,0,-7,-1,68,69,0,0.152971
1985,5850,4941,0,-8,-5,59,64,0,0.16071567
1985,10020,4941,0,-3,3,46,43,1,0.13254784
1985,764,5077,0,-9,-2,57,59,0,0.057166383
1985,6664,5077,0,1,-2,61,63,0,0.09161443
1985,6898,5077,0,-13,-12,55,67,0,0.08370402
1985,9269,5077,0,-5,-1,66,67,0,0.10278462
1985,10020,5077,0,-6,7,52,45,1,0.052052885
1985,3234,5111,0,13,7,65,58,1,0.18334109
1985,4941,5178,0,7,1,69,68,1,0.11481142
1985,2675,5212,0,-15,-4,55,59,0,0.12385641
1985,10020,5212,0,-7,4,59,55,1,0.11427024
1985,9269,5246,0,3,2,70,68,1,0.14031345
1985,6281,5715,0,13,19,76,57,1,0.1830939
1985,4732,5850,0,9,-23,55,78,0,0.11730549
1985,4941,5850,0,8,5,64,59,1,0.104727514
1985,6664,5884,0,15,13,96,83,1,0.15153033
1985,73,5929,0,-4,-6,55,61,0,0.11027039
1985,6012,5929,0,-11,-9,56,65,0,0.11266031
1985,8405,5929,0,2,9,69,60,1,0.13744992
1985,9847,5929,0,-8,-13,73,86,0,0.084933534
1985,5929,6012,0,11,9,65,56,1,0.14111455
1985,513,6281,0,-9,-6,56,62,0,0.09550763
1985,5715,6281,0,-13,-19,57,76,0,0.08452883
1985,6542,6281,0,-5,-2,58,60,0,0.09784654
1985,10020,6281,0,-6,12,56,44,1,0.09353769
1985,3745,6372,0,11,19,76,57,1,0.1719957
1985,6281,6542,0,5,2,60,58,1,0.16575366
1985,6830,6542,0,-3,-9,70,79,0,0.14558505
1985,4149,6595,0,11,11,49,38,1,0.1297962
1985,3954,6629,0,-9,-11,64,75,0,0.16915837
1985,4562,6629,0,-1,12,79,67,1,0.1935449
1985,3779,6664,0,-8,-6,69,75,0,0.11757122
1985,4562,6664,0,-4,-2,84,86,0,0.1453466
1985,5077,6664,0,-1,2,63,61,1,0.1517144
1985,5884,6664,0,-15,-13,83,96,0,0.105697595
1985,8059,6732,0,7,17,85,68,1,0.13910997
1985,6542,6830,0,3,9,79,70,1,0.124106966
1985,5077,6898,0,13,12,67,55,1,0.1620141
1985,2340,6966,0,11,13,75,62,1,0.14545715
1985,4562,7000,0,7,24,78,54,1,0.15069616
1985,513,7201,0,-5,1,59,58,1,0.10141803
1985,9629,7693,0,9,5,85,80,1,0.1367349
1985,4698,8059,0,1,13,70,57,1,0.14658822
1985,6732,8059,0,-7,-17,68,85,0,0.11464909
1985,8405,8239,0,15,24,83,59,1,0.15041986
1985,410,8405,0,-8,-3,65,68,0,0.091683015
1985,3132,8405,0,0,18,77,59,1,0.09986211
1985,4264,8405,0,-11,-16,70,86,0,0.061480895
1985,5929,8405,0,-2,-9,60,69,0,0.10883738
1985,8239,8405,0,-15,-24,59,83,0,0.09887618
1985,2204,8662,0,-3,-5,65,70,0,0.12239866
1985,3234,8662,0,5,17,70,53,1,0.15075722
1985,3132,8746,0,7,17,63,46,1,0.12918872
1985,10088,8746,0,-1,-3,57,60,0,0.13465963
1985,764,8984,0,-5,2,55,53,1,0.098925576
1985,9847,9167,0,-5,4,79,75,1,0.107398644
1985,5077,9269,0,5,1,67,66,1,0.13717033
1985,5246,9269,0,-3,-2,68,70,0,0.10834732
1985,4264,9629,0,-8,3,64,61,1,0.07537599
1985,7693,9629,0,-9,-5,80,85,0,0.11508548
